1500	1.10521e+12	9.27399e+11
1510	1.11062e+12	9.21083e+11
1520	1.116e+12	9.14735e+11
1530	1.12133e+12	9.08358e+11
1540	1.12664e+12	9.01951e+11
1550	1.1319e+12	8.95514e+11
1560	1.13713e+12	8.89047e+11
1570	1.14232e+12	8.82551e+11
1580	1.14747e+12	8.76026e+11
1590	1.15259e+12	8.69472e+11
1600	1.15767e+12	8.6289e+11
1610	1.16271e+12	8.56279e+11
1620	1.16771e+12	8.4964e+11
1630	1.17267e+12	8.42973e+11
1640	1.17759e+12	8.36278e+11
1650	1.18248e+12	8.29556e+11
1660	1.18732e+12	8.22806e+11
1670	1.19213e+12	8.1603e+11
1680	1.1969e+12	8.09226e+11
1690	1.20163e+12	8.02396e+11
1700	1.20632e+12	7.9554e+11
1710	1.21097e+12	7.88658e+11
1720	1.21558e+12	7.81749e+11
1730	1.22015e+12	7.74815e+11
1740	1.22467e+12	7.67856e+11
1750	1.22916e+12	7.60871e+11
1760	1.23361e+12	7.53861e+11
1770	1.23802e+12	7.46827e+11
1780	1.24239e+12	7.39768e+11
1790	1.24672e+12	7.32685e+11
1800	1.251e+12	7.25578e+11
1810	1.25525e+12	7.18447e+11
1820	1.25945e+12	7.11293e+11
1830	1.26362e+12	7.04115e+11
1840	1.26774e+12	6.96914e+11
1850	1.27182e+12	6.89691e+11
1860	1.27586e+12	6.82445e+11
1870	1.27986e+12	6.75176e+11
1880	1.28381e+12	6.67886e+11
1890	1.28772e+12	6.60573e+11
1900	1.2916e+12	6.53239e+11
1910	1.29542e+12	6.45884e+11
1920	1.29921e+12	6.38507e+11
1930	1.30296e+12	6.3111e+11
1940	1.30666e+12	6.23692e+11
1950	1.31032e+12	6.16254e+11
1960	1.31393e+12	6.08795e+11
1970	1.31751e+12	6.01317e+11
1980	1.32104e+12	5.93819e+11
1990	1.32452e+12	5.86302e+11
2000	1.32797e+12	5.78766e+11
2010	1.33137e+12	5.7121e+11
2020	1.33472e+12	5.63637e+11
2030	1.33804e+12	5.56044e+11
2040	1.34131e+12	5.48434e+11
2050	1.34454e+12	5.40806e+11
2060	1.34772e+12	5.3316e+11
2070	1.35086e+12	5.25497e+11
2080	1.35395e+12	5.17817e+11
2090	1.357e+12	5.1012e+11
2100	1.36001e+12	5.02406e+11
2110	1.36297e+12	4.94676e+11
2120	1.36589e+12	4.8693e+11
2130	1.36876e+12	4.79168e+11
2140	1.37159e+12	4.7139e+11
2150	1.37438e+12	4.63597e+11
2160	1.37712e+12	4.55789e+11
2170	1.37981e+12	4.47967e+11
2180	1.38246e+12	4.4013e+11
2190	1.38507e+12	4.32278e+11
2200	1.38763e+12	4.24413e+11
2210	1.39015e+12	4.16533e+11
2220	1.39262e+12	4.0864e+11
2230	1.39504e+12	4.00734e+11
2240	1.39742e+12	3.92815e+11
2250	1.39976e+12	3.84884e+11
2260	1.40205e+12	3.76939e+11
2270	1.40429e+12	3.68983e+11
2280	1.40649e+12	3.61015e+11
